VID,Company
03F0_4002,PHOTOSMART 635/715/720/735/935/E337 (STORAGE)
03F0_4004,CP1160
03F0_4102,PHOTOSMART 618
03F0_4105,SCANJET 4370
03F0_4111,OFFICEJET 7200 SERIES
03F0_4117,LASERJET 1018
03F0_4202,PHOTOSMART 812
03F0_4205,SCANJET G3010
03F0_4211,OFFICEJET 7300 SERIES
03F0_4217,EWS CM1015
03F0_4302,PHOTOSMART 850 (PTP)
03F0_4305,SCANJET G3110
03F0_4311,OFFICEJET 7400 SERIES
03F0_4317,COLOR LASERJET CM1017
03F0_4402,PHOTOSMART 935 (PTP)
03F0_4417,EWS UPD
03F0_4502,PHOTOSMART 945 (PTP MODE)
03F0_4505,SCANJET G4010
03F0_4507,EXTERNAL HDD
03F0_4511,PHOTOSMART 2600
03F0_4512,E709N [OFFICEJET 6500 WIRELESS]
03F0_4517,EWS UPD
03F0_4605,SCANJET G4050
03F0_4611,PHOTOSMART 2700
03F0_4717,COLOR LASERJET CP1215
03F0_4811,PSC 1600
03F0_484A,ELITE DOCK G4
03F0_4911,PSC 2350
03F0_4B11,OFFICEJET 6200
03F0_4C11,PSC 1500 SERIES
03F0_4C17,EWS UPD
03F0_4D11,PSC 1400
03F0_4D17,EWS UPD
03F0_4E11,PHOTOSMART 2570 SERIES
03F0_4F11,OFFICEJET 5600 (USBHUB)
03F0_4F17,COLOR LASERJET CM1312 MFP
03F0_5004,DESKJET 995C
03F0_5011,PHOTOSMART 3100 SERIES
03F0_5017,EWS UPD
03F0_5111,PHOTOSMART 3200 SERIES
03F0_5211,PHOTOSMART 3300 SERIES
03F0_5307,V165W STICK
03F0_5311,OFFICEJET 6300
03F0_5312,OFFICEJET PRO 8500A
03F0_5317,COLOR LASERJET CP2025 SERIES
03F0_5411,OFFICEJET 4300
03F0_5511,DESKJET F300 SERIES
03F0_5611,PHOTOSMART C3180
03F0_5617,LASERJET M1120 MFP
03F0_5711,PHOTOSMART C4100 SERIES
03F0_5717,LASERJET M1120N MFP
03F0_5811,PHOTOSMART C5100 SERIES
03F0_5817,LASERJET M1319F MFP
03F0_581D,LT4112 GOBI 4G MODULE NETWORK DEVICE
03F0_5911,PHOTOSMART C6180
03F0_5912,OFFICEJET PRO 8600
03F0_5A11,PHOTOSMART C7100 SERIES
03F0_5B11,OFFICEJET J2100 SERIES
03F0_5B12,OFFICEJET PRO 8100
03F0_5C11,PHOTOSMART C4200 PRINTER SERIES
03F0_5C12,OFFICEJET 6700
03F0_5C17,LASERJET P2055 SERIES
03F0_5D11,PHOTOSMART C5200 SERIES
03F0_5E11,PHOTOSMART D7400 SERIES
03F0_6004,DESKJET 5550
03F0_6102,HEWLETT PACKARD DIGITAL CAMERA
03F0_6104,DESKJET 5650C
03F0_6117,COLOR LASERJET 3550
03F0_6202,PHOTOSMART 215
03F0_6204,DESKJET 5150C
03F0_6217,COLOR LASERJET 4700
03F0_6302,PHOTOSMART 318/612
03F0_6317,COLOR LASERJET 4730MFP
03F0_632A,LASERJET M203-M206
03F0_6402,PHOTOSMART 715 (PTP)
03F0_6411,PHOTOSMART C8100 SERIES
03F0_6417,LASERJET 5200
03F0_6502,PHOTOSMART 120 (PTP)
03F0_6511,PHOTOSMART C7200 SERIES
03F0_6602,PHOTOSMART 320
03F0_6611,PHOTOSMART C4380 SERIES
03F0_6617,LASERJET 5200L
03F0_6702,PHOTOSMART 720 (PTP)
03F0_6717,COLOR LASERJET 3000
03F0_6802,PHOTOSMART 620 (PTP)
03F0_6811,PHOTOSMART D5300 SERIES
03F0_6817,COLOR LASERJET 3800
03F0_6911,PHOTOSMART D7200 SERIES
03F0_6917,COLOR LASERJET 3600
03F0_6A02,PHOTOSMART 735 (PTP)
03F0_6A11,PHOTOSMART C6200 SERIES
03F0_6A17,LASERJET 4240
03F0_6B02,PHOTOSMART R707 (PTP MODE)
03F0_6B11,PHOTOSMART C4500 SERIES
03F0_6C11,PHOTOSMART C4480
03F0_6C17,COLOR LASERJET 4610
03F0_6F17,COLOR LASERJET CP6015 SERIES
03F0_7004,DESKJET 3320C
03F0_7102,PHOTOSMART 635 (PTP MODE)
03F0_7104,DESKJET 3420C
03F0_7117,CM8060 COLOR MFP WITH EDGELINE TECHNOLOGY
03F0_7202,PHOTOSMART 43X (PTP)
03F0_7204,DESKJET 36XX
03F0_7217,LASERJET M5035 MFP
03F0_7302,PHOTOSMART M307 (PTP MODE)
03F0_7304,DESKJET 35XX
03F0_7311,PHOTOSMART PREMIUM C309
03F0_7317,LASERJET P3005
03F0_7404,PRINTING SUPPORT
03F0_7417,LASERJET M4345 MFP
03F0_7504,PRINTING SUPPORT
03F0_7517,LASERJET M3035 MFP
03F0_7604,DESKJET 3940
03F0_7611,DESKJET F2492 ALL-IN-ONE
03F0_7617,LASERJET P3004
03F0_7702,PHOTOSMART R817 (PTP MODE)
03F0_7704,DESKJET D4100
03F0_7717,CM8050 COLOR MFP WITH EDGELINE TECHNOLOGY
