VID, COMPANY
069F,ALLIED DATA TECHNOLOGIES BV
06A2,TOPRO TECHNOLOGY INC.
06A3,SAITEK PLC
06A4,XIAMEN DOOWELL ELECTRON CO. LTD
06A5,DIVIO
06A7,MICROSTORE INC.
06A8,TOPAZ SYSTEMS INC.
06A9,WESTELL
06AA,SYSGRATION LTD
06AC,FUJITSU LABORATORIES OF AMERICA INC.
06AD,GREATLAND ELECTRONICS TAIWAN LTD
06AE,PROFESSIONAL MULTIMEDIA TESTING CENTRE
06AF,HARTING INC. OF NORTH AMERICA
06B8,PIXELA CORP.
06B9,ALCATEL TELECOM
06BA,SMOOTH CORD & CONNECTOR CO. LTD
06BB,EDA INC.
06BC,OKI DATA CORP.
06BD,AGFA-GEVAERT NV
06BE,AME OPTIMEDIA TECHNOLOGY CO. LTD
06BF,LEOCO CORP.
06C2,PHIDGETS INC. (FORMERLY GLAB)
06C4,BIZLINK INTERNATIONAL CORP.
06C5,HAGENUK GMBH
06C6,INFOWAVE SOFTWARE INC.
06C8,SIIG INC.
06C9,TAXAN (EUROPE) LTD
06CA,NEWER TECHNOLOGY INC.
06CB,SYNAPTICS INC.
06CC,TERAYON COMMUNICATION SYSTEMS
06CD,KEYSPAN
06CE,CONTEC
06CF,SPHERONVR AG
06D0,LAPLINK INC.
06D1,DAEWOO ELECTRONICS CO. LTD
06D3,MITSUBISHI ELECTRIC CORP.
06D4,CISCO SYSTEMS
06D5,TOSHIBA
06D6,AASHIMA TECHNOLOGY B.V.
06D7,NETWORK COMPUTING DEVICES (NCD)
06D8,TECHNICAL MARKETING RESEARCH INC.
06DA,PHOENIXTEC POWER CO. LTD
06DB,PARADYNE
06DC,FOXLINK IMAGE TECHNOLOGY CO. LTD
06DE,HEISEI ELECTRONICS CO. LTD
06E0,MULTI-TECH SYSTEMS INC.
06E1,ADS TECHNOLOGIES INC.
06E4,ALCATEL MICROELECTRONICS
06E6,TIGER JET NETWORK INC.
06EA,SIRIUS TECHNOLOGIES
06EB,PC EXPERT TECH. CO. LTD
06EF,I.A.C. GEOMETRISCHE INGENIEURS B.V.
06F0,T.N.C INDUSTRIAL CO. LTD
06F1,OPCODE SYSTEMS INC.
06F2,EMINE TECHNOLOGY CO.
06F6,WINTREND TECHNOLOGY CO. LTD
06F7,WAILLY TECHNOLOGY LTD
06F8,GUILLEMOT CORP.
06F9,ASYST ELECTRONIC D.O.O.
06FA,HSD S.R.L
06FC,MOTOROLA SEMICONDUCTOR PRODUCTS SECTOR
06FD,BOSTON ACOUSTICS
06FE,GALLANT COMPUTER INC.
0701,SUPERCOMAL WIRE & CABLE SDN. BHD.
0703,BVTECH INDUSTRY INC.
0705,NKK CORP.
0706,ARIEL CORP.
0707,STANDARD MICROSYSTEMS CORP.
0708,PUTERCOM CO. LTD
0709,SILICON SYSTEMS LTD (SSL)
070A,OKI ELECTRIC INDUSTRY CO. LTD
070D,COMOSS ELECTRONIC CO. LTD
